No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
398,7271,Kota Palu,Sulawesi Tengah,2021,60.4
399,7301,Kabupaten Selayar,Sulawesi Selatan,2021,62.8
400,7302,Kabupaten Bulukumba,Sulawesi Selatan,2021,60.1
401,7303,Kabupaten Bantaeng,Sulawesi Selatan,2021,61.9
402,7304,Kabupaten Jeneponto,Sulawesi Selatan,2021,65.5
403,7305,Kabupaten Takalar,Sulawesi Selatan,2021,61.4
404,7306,Kabupaten Gowa,Sulawesi Selatan,2021,62.3
405,7307,Kabupaten Sinjai,Sulawesi Selatan,2021,73.6
406,7309,Kabupaten Maros,Sulawesi Selatan,2021,56.5
407,7310,Kabupaten Pangkajene dan Kepulauan,Sulawesi Selatan,2021,70.6
408,7311,Kabupaten Barru,Sulawesi Selatan,2021,61.5
409,7308,Kabupaten Bone,Sulawesi Selatan,2021,58.5
410,7312,Kabupaten Soppeng,Sulawesi Selatan,2021,58.7
411,7313,Kabupaten Wajo,Sulawesi Selatan,2021,63.2
